"Census Profile, 2021 Census of Population"
,,,"Calgary, City (CY) [Census subdivision], Alberta",,
,,,"Counts",,
"Topic","Characteristic","Note","Total","Total_Flag",
"Population and dwellings","Population, 2021",1,1306784,"",
"Population and dwellings","Population, 2016",1,1239220,"",
"Population and dwellings","Population percentage change, 2016 to 2021",,    5.5,"",
"Population and dwellings","Total private dwellings",2,531062,"",
"Population and dwellings","Private dwellings occupied by usual residents",3,502301,"",
"Population and dwellings","Population density per square kilometre",, 1592.4,"",
"Population and dwellings","Land area in square kilometres",,  820.62,"",
"Age characteristics","Total - Age groups of the population - 100% data",,1306780,"",
"Age characteristics","  0 to 14 years",,235855,"",
"Age characteristics","    0 to 4 years",, 73840,"",
"Age characteristics","    5 to 9 years",, 80585,"",
"Age characteristics","    10 to 14 years",, 81425,"",
"Age characteristics","  15 to 64 years",,893525,"",
"Age characteristics","    15 to 19 years",, 73490,"",
"Age characteristics","    20 to 24 years",, 78365,"",
"Age characteristics","    25 to 29 years",, 88385,"",
"Age characteristics","    30 to 34 years",,105960,"",
"Age characteristics","    35 to 39 years",,110765,"",
"Age characteristics","    40 to 44 years",,100080,"",
"Age characteristics","    45 to 49 years",, 91385,"",
"Age characteristics","    50 to 54 years",, 84725,"",
"Age characteristics","    55 to 59 years",, 82570,"",
"Age characteristics","    60 to 64 years",, 77790,"",
"Age characteristics","  65 years and over",,177405,"",
"Age characteristics","    65 to 69 years",, 62120,"",
"Age characteristics","    70 to 74 years",, 46495,"",
"Age characteristics","    75 to 79 years",, 28965,"",
"Age characteristics","    80 to 84 years",, 19405,"",
"Age characteristics","    85 years and over",, 20420,"",
"Age characteristics","      85 to 89 years",, 12620,"",
"Age characteristics","      90 to 94 years",,  6225,"",
"Age characteristics","      95 to 99 years",,  1375,"",
"Age characteristics","      100 years and over",,   195,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",
"Age characteristics","  0 to 14 years",,   18.0,"",
"Age characteristics","  15 to 64 years",,   68.4,"",
"Age characteristics","  65 years and over",,   13.6,"",
"Age characteristics","    85 years and over",,    1.6,"",
"Age characteristics","Average age of the population",,   38.8,"",
"Age characteristics","Median age of the population",,   38.0,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",,502300,"",
"Household and dwelling characteristics","  Single-detached house",,276050,"",
"Household and dwelling characteristics","  Semi-detached house",, 31660,"",
"Household and dwelling characteristics","  Row house",, 48860,"",
"Household and dwelling characteristics","  Apartment or flat in a duplex",, 21165,"",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",, 81870,"",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",, 40700,"",
"Household and dwelling characteristics","  Other single-attached house",,   200,"",
"Household and dwelling characteristics","  Movable dwelling",4,  1790,"",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",,502305,"",
"Household and dwelling characteristics","  1 person",,132695,"",
"Household and dwelling characteristics","  2 persons",,159955,"",
"Household and dwelling characteristics","  3 persons",, 80020,"",
"Household and dwelling characteristics","  4 persons",, 79565,"",
"Household and dwelling characteristics","  5 or more persons",, 50070,"",
"Household and dwelling characteristics","Number of persons in private households",,1291770,"",
"Household and dwelling characteristics","Average household size",,    2.6,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5,356225,"",
"Family characteristics","  2 persons",,164970,"",
"Family characteristics","  3 persons",, 78740,"",
"Family characteristics","  4 persons",, 79565,"",
"Family characteristics","  5 or more persons",, 32950,"",
"Family characteristics","Average size of census families",,    3.0,"",
"Family characteristics","Average number of children in census families with children",6,    1.8,"",
"Family characteristics","Total number of census families in private households - 100% data",,356220,"",
"Family characteristics","  Total couple families",,304050,"",
"Family characteristics","    Married couples",,256225,"",
"Family characteristics","      With children",6,155795,"",
"Family characteristics","      Without children",,100430,"",
"Family characteristics","    Common-law couples",, 47830,"",
"Family characteristics","      With children",6, 14805,"",
"Family characteristics","      Without children",, 33020,"",
"Family characteristics","  Total one-parent families",, 52170,"",
"Family characteristics","    in which the parent is a woman+",, 40670,"",
"Family characteristics","    in which the parent is a man+",, 11505,"",
"Family characteristics","Total - Persons in private households - 100% data",,1291770,"",
"Family characteristics","  Total - Persons in census families",,1060650,"",
"Family characteristics","    Married spouses or common-law partners",,608110,"",
"Family characteristics","    Parents in one-parent families",, 52170,"",
"Family characteristics","    Children",6,400375,"",
"Family characteristics","      In a two-parent family",,319875,"",
"Family characteristics","      In a one-parent family",, 80495,"",
"Family characteristics","  Total - Persons not in census families in private households - 100% data",,231120,"",
"Family characteristics","    Living alone",,132690,"",
"Family characteristics","    Living with other relatives",7, 34850,"",
"Family characteristics","    Living with non-relatives only",, 63575,"",
"Household type","Total - Household type - 100% data",,502300,"",
"Household type","  One-census-family households without additional persons",,302280,"",
"Household type","    Couple-family households",,262950,"",
"Household type","      With children",6,147735,"",
