station_name,station_type,num_chargers,latitude,longitude
BANKERS HALL BH STATION 2,Level 2,2,51.045033,-114.06977
EV DUAL CHARING,Level 2,14,51.046584,-114.074016
SODO SODO 1,Level 2,2,51.043865,-114.07543
BANKERS HALL BC STATION 1,Level 2,2,51.04501,-114.067375
Indigo Parking Calgary - Tesla Destination,Level 2,2,51.047962,-114.074176
AMBLE-1215 1215 #2,Level 2,2,51.041039,-114.074621
BROOKFIELD PL,Level 2,4,51.047246,-114.066726
OXFORD PROP BVS,Level 2,2,51.048155,-114.06727
BROOKFIELD PL STATION 1,Level 2,2,51.047186,-114.065689
DISTRICT DISTRICT 3,Level 2,2,51.045952,-114.08048
Cpa Mcdougall Parkade - Lot 28,Level 2,14,51.048985,-114.077491
JAMIESON PLACE JAMIESON STN 1,Level 2,1,51.049732,-114.068184
Calgary Marriott Downtown,Level 2,1,51.0446034,-114.0629409
QUADREAL CA LVNSTN,Level 2,2,51.050104,-114.068177
Centennial,Level 1 + Level 2,2,51.0508632,-114.0721426
Devon Tower,Level 1 + Level 2,2,51.0510198,-114.0708042
Eau Claire Tower,Level 1,5,51.05106,-114.074346
FIFTH ASTS STATION 1,Level 2,2,51.03835,-114.07457
INDIGO PARK CCA192-2,Level 2,2,51.045741,-114.082419
Versus Living - Public,Level 2,2,51.0436,-114.082747
AMBLE-REDSTONE REDSTONE 2,Level 2,2,51.039796,-114.079667
LIVINGSTON PL LIVINGSTN DCFC1,Level 3,2,51.05104,-114.06722
Cpa Convention Centre Parkade - Lot 60,Level 2,8,51.04609,-114.060669
INDIGO PARK CCA191-2,Level 2,2,51.043394,-114.06016
UPTEN LIMITED STATION 1,Level 2,2,51.042843,-114.06014
Impark (keynote Parking Garage),Level 2,2,51.041995,-114.060321
Bow Valley College South Campus,Level 2,2,51.047168,-114.059999
City of Calgary Civic Plaza Parkade,Level 2,1,51.0444627,-114.05808050000002
INDIGO PARK CCA205-SOUTH,Level 2,2,51.04911,-114.08437
BLVD Beltline,Level 2,6,51.040711,-114.058701
Cpa City Hall Parkade - Lot 36,Level 2,6,51.044567,-114.0569
